"","X.1.x","date","multi","value.x","X","variable","L1"
"1","Acartia clausi C6F","July","25","175","Calanoida","X.1",1
"2","Acartia clausi C6F","November","2","78","Calanoida","X.1",1
"3","Acartia clausi C6F","October","16","128","Calanoida","X.1",1
"4","Acartia clausi C6M","October","16","16","Calanoida","X.1",1
"5","Acartia clausi C6M","July","25","50","Calanoida","X.1",1
"6","Acartia spp. C1","June","50","50","Calanoida","X.1",1
"7","Acartia spp. C1","March","8","8","Calanoida","X.1",1
"8","Acartia spp. C1","August","100","1300","Calanoida","X.1",1
"9","Acartia spp. C1","July","25","50","Calanoida","X.1",1
"10","Acartia spp. C1","April","16","16","Calanoida","X.1",1
"11","Acartia spp. C2","March","8","24","Calanoida","X.1",1
"12","Acartia spp. C2","June","50","50","Calanoida","X.1",1
"13","Acartia spp. C2","April","16","16","Calanoida","X.1",1
"14","Acartia spp. C2","July","25","50","Calanoida","X.1",1
"15","Acartia spp. C2","August","100","500","Calanoida","X.1",1
"16","Acartia spp. C3","October","16","16","Calanoida","X.1",1
"17","Acartia spp. C3","August","100","400","Calanoida","X.1",1
"18","Acartia spp. C3","June","50","50","Calanoida","X.1",1
"19","Acartia spp. C4","July","25","125","Calanoida","X.1",1
"20","Acartia spp. C4","August","100","600","Calanoida","X.1",1
"21","Acartia spp. C5","April","16","16","Calanoida","X.1",1
"22","Acartia spp. C5","November","2","8","Calanoida","X.1",1
"23","Acartia spp. C5","August","100","400","Calanoida","X.1",1
"24","Acartia spp. C5","July","25","25","Calanoida","X.1",1
"25","Acartia spp. C5","September","16","80","Calanoida","X.1",1
"26","Acartia spp. C6F","May","50","50","Calanoida","X.1",1
"27","Acartia spp. C6F","August","100","300","Calanoida","X.1",1
"28","Acartia spp. C6F","September","16","352","Calanoida","X.1",1
"29","Acartia spp. C6M","September","16","48","Calanoida","X.1",1
"30","Actinotroch larvae","August","100","105","Phoronida","X.1",1
"31","Actinotroch larvae","October","16","1","Phoronida","X.1",1
"32","Actinula","May","50","3","Hydrozoa ","X.1",1
"33","Aglantha digitale","May","50","1","Hydrozoa ","X.1",1
"34","Bipinnaria larvae (starfish)","July","25","50","Echinodermata ","X.1",1
"35","Bivalve larvae","August","100","1000","Mollusca","X.1",1
"36","Bivalve larvae","September","16","32","Mollusca","X.1",1
"37","Bivalve larvae","July","25","950","Mollusca","X.1",1
"38","Bivalve larvae","May","50","250","Mollusca","X.1",1
"39","Bivalve larvae","October","16","32","Mollusca","X.1",1
"40","Bouganvillia spp.","August","100","1","Hydrozoa ","X.1",1
"41","Brachiolarian larvae (starfish)","August","100","202","Echinodermata ","X.1",1
"42","Calanus finmarchicus C5","November","2","8","Calanoida","X.1",1
"43","Calanus finmarchicus C5","June","50","50","Calanoida","X.1",1
"44","Calanus finmarchicus C5","August","100","7","Calanoida","X.1",1
"45","Calanus finmarchicus C5","April","16","136","Calanoida","X.1",1
"46","Calanus finmarchicus C6F","November","2","1","Calanoida","X.1",1
"47","Calanus finmarchicus C6F","August","100","1","Calanoida","X.1",1
"48","Calanus finmarchicus C6F","June","50","50","Calanoida","X.1",1
"49","Calanus finmarchicus C6F","May","50","100","Calanoida","X.1",1
"50","Calanus finmarchicus C6F","April","16","48","Calanoida","X.1",1
"51","Calanus finmarchicus C6M","August","100","3","Calanoida","X.1",1
"52","Calanus finmarchicus C6M","April","16","8","Calanoida","X.1",1
